key,count,sum,min,max,avg,rate,p95
getTrend,3120,490089.522179,13.673378,1494.521302,476.740780,36.815038,977.628686
getIsuConditions,6937,79161.229005,0.018172,550.067450,77.005087,74.080828,203.537132
getIsuGraph,2075,55792.793188,0.010744,331.351231,54.273145,24.109462,157.486047
getIsuList,2006,50251.584888,0.014534,393.579565,48.882865,24.534813,146.925230
getIsuID,2124,46158.218399,0.014418,479.536813,44.900991,27.498805,142.054062
getIsuIcon,11338,44250.457301,0.016731,506.455361,43.045192,146.663987,129.821854
getIsuConditionsFromDB,6566,31505.641378,0.766872,474.828255,30.647511,69.455490,90.781443
getUserIDFromSession,25833,23913.169351,0.012425,367.605098,23.261838,315.038419,84.283589
postIsu,139,13476.940284,0.013308,431.823116,96.956405,4.061498,188.585003
postAuthentication,969,13095.396336,0.002438,481.372480,13.514341,12.487221,55.474536
getMe,798,8113.878893,0.010618,282.045602,10.167768,9.185280,48.745563
postSignout,416,8044.316500,0.013412,237.076512,19.337299,4.854234,80.700537
postIsuCondition,147700,6936.584316,0.000326,203.768842,6.747650,1532.911026,57.014998
generateIsuGraphResponse,1810,4525.734001,0.481236,22.064300,4.402465,20.812733,10.460222
getJIAServiceURL,136,553.747438,0.283303,19.468655,4.071672,3.874656,11.894214
getSession,26739,168.023380,0.000973,10.154799,0.163447,325.755121,0.369836
getIndex,3597,85.993705,0.019834,8.814931,0.083651,45.443466,0.137251
calculateGraphDataPoint,11361,27.706465,0.001084,2.432999,0.026952,117.544677,0.043769
isValidConditionFormat,255573,0.483076,0.000100,0.031723,0.000470,2588.024575,0.000824
calculateConditionLevel,3129607,0.427725,0.000077,0.215475,0.000416,32291.382207,0.000375
